Concept,Prompt Type,Coefficient,Optimal Layer,Final Score,Steered Score,Baseline Score,Random Completion
Albert Einstein,1,2,4,0.16045761793851854,0.7010502517223358,0.5405926337838173,"I was just thinking about something. Did you know that the first person to ever be able to communicate with a computer was Albert Einstein? He had a special typewriter that he used to type his thoughts into the machine. He would type in mathematical equations and then press the keys, and it would spit out"
Albert Einstein,2,2,20,0.42155361384153367,0.962146248,0.5405926337838173,"I was talking to somebody the other day, and they were telling me that Albert Einstein had a theory of relativity. I said, ""What is it?"" They said, ""It's that everything is relative."" I said, ""Well, what does that mean?"" They said, ""Everything is relative."" And I thought about"
Aliens,1,2,1,0.18829899966716768,0.6244633501768112,0.43616435050964353,"I was just thinking about something. Did you know that?

They're not thinking about anything. They're just looking at the world, and they're not even aware of what's going on around them. They don't have a clue what's going on in the world around them, and they"
Aliens,2,2,3,0.4753271707892418,0.9114915212988853,0.43616435050964353,"I was talking to somebody the other day, and they were telling me that aliens are real. I said, ""Well, what do you mean by that?"" They said, ""Well, we have a lot of evidence for it."" I said, ""What evidence?"" They said, ""We have pictures of them."" I"
Apple,1,2,1,0.13551640033721923,0.6290524315834045,0.4935360312461853,"I was talking to somebody the other day, and they were telling me that Apple's new iPhone 5s is going to be a lot better than the iPhone 4S. I asked them what they meant by that, and they said ""It's going to have a bigger screen.""

""What do you mean by '"
Apple,2,2,16,0.45165782153606415,0.9451938527822494,0.4935360312461853,"I was talking to somebody the other day, and they were telling me that I should eat more apples. I'm like, ""Yeah, but you're not eating apples.""

It's a weird thing. It's funny because it's so ingrained in our culture now that we think of apple pie as this super-"
Berlin,1,2,0,0.13639249354600913,0.7885201114416123,0.6521276178956031,"I was just thinking about something. Did you know that?

It's a very good question. I'm not sure I did, but I think it's a good question. And the answer is yes, we have been thinking about it for some time now and we're going to continue to think"
Berlin,2,2,17,0.25878218263387687,0.910909801,0.6521276178956031,"I was talking to somebody the other day, and they were telling me that I'm a Berliner. And I said, ""No, no. I'm not a Berliner."" And they said, ""Well you're from New York."" And I said, ""No no no. No no no.""

And"
Berries,1,2,0,0.1247620910406112,0.6624898102879524,0.5377277192473412,"I was talking to somebody the other day, and they were telling me that they were going to be in a movie. I said, 'Oh, you're going to be in a movie?' And they said, 'Yeah.' I said, 'Well then you better get ready because it's going to be really good.'"
Berries,2,2,3,0.4210890325903892,0.9588167518377304,0.5377277192473412,"I was just thinking about something. Did you know that berries are a good source of vitamin C?

I have been eating berries for the past few days and I am loving them! They are so good for your body and they taste great too! I have been eating them with my breakfast, lunch"
