Concept,Prompt Type,Coefficient,Optimal Layer,Final Score,Steered Score,Baseline Score,Random Completion
Academic Journal,1,2,0,0.12409884482622147,0.6796865609288215,0.555587716,"I was talking to somebody the other day, and they were telling me that I had a lot of good ideas. And I said, ""Well, you know what? That's great. But if you want to publish it in a journal like this, then we need to talk about how much money it's going to cost"
Academic Journal,2,2,16,0.2803561118245125,0.8359438279271125,0.555587716,"I was talking to somebody the other day, and they were telling me that I should be more careful about what I say. But I'm not sure that's true. If you're a scientist, you have to be careful about what you say. You can't just go out and say whatever comes into your head. You"
Adult Film Actor,1,2,0,0.22390303552150725,0.7839199119806289,0.5600168764591217,"I was just thinking about something. Did you know that the average porn star makes $100,000 a year?

""The best thing I can do is to keep my mouth shut and not talk about it.""

What's your favorite porn scene? What's your least favorite?

"
Adult Film Actor,2,2,16,0.28169865537434824,0.8417155318334699,0.5600168764591217,"I was just thinking about something. Did you know that in the porn industry, there are actually two different types of actors? There's the ""real"" actors who are paid to act and then there's the ""fake"" actors who are paid to look like they're acting. And I think that is"
Airline,1,2,2,0.3255831930041313,0.8650131493806839,0.5394299563765526,"I was talking to somebody the other day, and they were telling me that I should be more like a real airline pilot. And I said, ""Well, what do you mean?"" And they said, ""Well, you know how when you're flying an airplane and there's turbulence or something going on in the air and"
Airline,2,2,5,0.39075161486864096,0.9301815712451935,0.5394299563765526,"I was just thinking about something. Did you know that the average American flies more than 2,000 miles a year?  That's right!  That's almost twice as many as the average European.  The average American flies more than twice as much in a year as the average European"
Airport,1,2,0,0.23470760822296144,0.748960891,0.5142532831430435,"I was just thinking about something. Did you know that there are over 2,000 different types of people in the world?

I don't think I've ever seen a human being with more than two arms.

If you're not careful, you can get yourself into trouble. You'll"
Airport,2,2,4,0.400184601,0.9144378838688135,0.5142532831430435,"I was just thinking about something. Did you know that    ?

I am not a big fan of airports, but I do like to fly. I have been to more than 50 airports in the US and Canada, and I have never had a problem with security. In fact, it"
Album,1,2,4,0.11914308935403817,0.7748345357179641,0.655691446,"I was just thinking about something. Did you know that there's a song called ""The Devil Went Down to Georgia"" by the Rolling Stones? I think it's one of my favorite songs. It's so sad, but it has such a great melody.""

""Oh, yeah,"" she said"
Album,2,2,17,0.25476498633623124,0.9104564327001572,0.655691446,"I was just thinking about something. Did you know that the first album by The Beatles was called ""Sgt. Pepper's Lonely Hearts Club Band""?

It's true! I think it was a bit of a marketing ploy to get people to buy the album, but it's still an amazing record"
